Iteration,Created time,Creative number,Creator,Date,Game Title,PM,Period,Status,Team,Video Count,날짜
Snake Clash_13th_UA_Iteration,"April 4, 2026 8:09 PM",90144~90145,Falcon,,Snake Clash,,April W3 (4/13~),Done,Video Ads Team,,
Pizza Ready_2nd_UA_Iteration,"April 4, 2026 8:09 PM","90016~90021              ",Miko,,Pizza Ready,,April W4 (4/20~),Done,Video Ads Team,,
Snake Clash_11th_UA_Iteration,"April 4, 2026 8:59 PM",90132~90133,Miko,,Snake Clash,,April W2 (4/6~),Done,Video Ads Team,,
Snake Clash_11th_UA_Iteration,"April 4, 2026 9:00 PM",90130~90131,Ruelle,,Snake Clash,,April W2 (4/6~),Done,Video Ads Team,,
"Arrow Fever_5th_UA_Iteration ","April 4, 2026 9:00 PM",90080~90085,Aaron,,Arrow Fever,,April W2 (4/6~),Done,Video Ads Team,6,
Super Big Slime_1st_UA_Iteration,"April 4, 2026 9:01 PM",90001~90007,Ruelle,,Super Big Slime,,April W3 (4/13~),Done,Video Ads Team,,
Burger Please!_1st_UA_Iteration,"April 4, 2026 9:01 PM",90001~90006,Miko,,Burger Please!,,April W3 (4/13~),Done,Video Ads Team,,
Dino_5th_AI_Iteration,"April 4, 2026 9:01 PM",90045 ~ 90049,Kurly,,Dino Universe,,April W2 (4/6~),Done,AI Ads Team,,
PizzaReady_1st_AI_iteration,"April 4, 2026 9:02 PM",90001~90005,Ellie,,Pizza Ready,,April W2 (4/6~),Done,AI Ads Team,,
Snake_12th_AI_Iteration,"April 4, 2026 9:02 PM",90125 ~ 90129,Hozler,,Snake Clash,,April W2 (4/6~),Done,AI Ads Team,,
XP Hero_6th_AI_Iteration,"April 4, 2026 9:03 PM",90066 ~ 90067,Elliot,,XP Hero,,April W2 (4/6~),Done,AI Ads Team,,
XP Hero_6th_AI_Iteration,"April 4, 2026 9:03 PM",90064 ~ 90065,Thiago,,XP Hero,,April W2 (4/6~),Done,AI Ads Team,,
Snake_13th_AI_Iteration 2,"April 4, 2026 9:05 PM",90139 ~ 90143,Elliot,,Snake Clash,,April W3 (4/13~),Done,AI Ads Team,,
Snake_13th_AI_Iteration 1,"April 4, 2026 9:05 PM",90134~90138,Hozler,,Snake Clash,,April W3 (4/13~),Done,AI Ads Team,,
Prison Life_2nd_AI_Iteration,"April 4, 2026 9:05 PM",90008 ~ 90012,Thiago,,Prison Life,,April W3 (4/13~),Done,AI Ads Team,,
Lumber_1st_AI_Iteration 1,"April 4, 2026 9:05 PM",90004~90008,Ellie,,Lumber Chopper,,April W3 (4/13~),Done,AI Ads Team,,
XP Hero_7th_AI_Iteration,"April 4, 2026 9:05 PM",90068 ~ 90069,Pax,,XP Hero,,April W3 (4/13~),Done,AI Ads Team,,
Dino Universe_6th_Iteration,"April 4, 2026 9:40 PM",90055~90062,"Aaron, Bomi",,Dino Universe,,April W4 (4/20~),Done,Video Ads Team,8,
Snake Clash_14th_UA_Iteration 2,"April 4, 2026 9:40 PM",90152~90157,Ruelle,,Snake Clash,,April W4 (4/20~),Done,Video Ads Team,,
Arrow Fever_6th_UA_Iteration,"April 4, 2026 9:40 PM",90096-90103,Falcon,,Arrow Fever,,April W4 (4/20~),Done,Video Ads Team,,
ArrowFever_9th_AI_Iteration,"April 4, 2026 9:40 PM",90086 ~ 90094,Hozler,,Arrow Fever,,April W4 (4/20~),Done,AI Ads Team,,
PizzaReady_2nd_AI_Iteration_2,"April 4, 2026 9:40 PM",90011 ~ 90015,Elliot,,Pizza Ready,,April W4 (4/20~),Done,AI Ads Team,,
PizzaReady_2nd_AI_Iteration_1,"April 4, 2026 9:40 PM",90006 ~ 90010,Kurly,,Pizza Ready,,April W4 (4/20~),Done,AI Ads Team,,
Snake Clash_14th_AI_Iteration 1,"April 4, 2026 9:40 PM",90146 ~ 90151,Thiago,,Snake Clash,,April W4 (4/20~),Done,AI Ads Team,,
XP_8th_AI_Iteration,"April 4, 2026 9:40 PM",90070 ~ 90074,Ellie,,XP Hero,,April W4 (4/20~),Done,AI Ads Team,,
Lumber_1st_AI_Iteration 2,"April 9, 2026 5:04 PM",90001 ~ 90003,Kurly,,Lumber Chopper,,April W3 (4/13~),Done,AI Ads Team,,
Dino_6th_AI_Iteration,"April 9, 2026 5:12 PM",90050 ~ 90054,Pax,,Dino Universe,,April W4 (4/20~),Done,AI Ads Team,,
Downhill_1st_UA_Iteration,"April 11, 2026 6:11 AM",90001~90006,Aaron,,Downhill,,April W3 (4/13~),Done,Video Ads Team,6,
"Snake Clash_15th_UA_iteration ","April 20, 2026 2:35 PM",90166~90168,Aaron,,Snake Clash,,April W5 (04/27~),Done,Video Ads Team,6,
